branch_code,branch_name,branch_address,fbank_code,fstate_code2
12343,Puchong Jaya ,"No. 7, Jalan Kenari 1,
Bandar Puchong Jaya,
Jalan Puchong,
47100 Puchong
Selangor",101,SGOR
12718,Pusat Bandar Puchong,"No 32 & 34 Jalan Bandar Tiga
Pusat Bandar Puchong
47000 Puchong
Selangor",101,SGOR
12316,Bandar Sunway,"No. 30 & 32, Jalan PJS 11/28A,
Bandar Sunway,
46150 Petaling Jaya
Selangor",101,SGOR
12361,USJ Subang Jaya  ,"No 39, Jln USJ 10/1G,
47620 Subang Jaya
Selangor",101,SGOR
12389,Cheras Selatan,"15 & 16, Seksyen 3,
Pekan Batu 11 Cheras,
Jalan Balakong,
43200 Cheras
Selangor",101,SGOR
14392,Bandar Sri Damansara ,"7 & 8, Jalan Tanjung SD 13/1,
Bandar Sri Damansara,
52200 Kepong
Selangor",101,SGOR
12437,KLIA,"Lot L3-1, Level 3 Gateway Kuala Lumpur International Airport 2, 64000 Sepang Selangor",101,SGOR
12491,Taman Bukit Emas ,"93 & 95, Jalan SS25/2,
Taman Bukit Emas,
47301 Petaling Jaya
Selangor",101,SGOR
12455,Pandamaran ,"188 & 190, Jalan Batu Unjur 1,
Bayu Perdana,
41200 Klang
Selangor",101,SGOR
12464,"Menara Klang, Jalan Raja Hassan 
(previously Jln Temoh)","26, 28 & 30, Jalan Raja Hassan,
Menara Klang,
41400 Klang
Selangor",101,SGOR
12473,TTDI Jaya ,"3 & 5, Jalan 1/4,
Seksyen U2,
TTDI Jaya,
40000 Shah Alam
Selangor",101,SGOR
12503,Bdr. Baru Selayang ,"77, Jalan 2/16,
Bandar Baru Selayang,
68100 Batu Caves
Selangor",101,SGOR
12521,Semenyih ,"3 Jalan Pasar 2
Bandar Semenyih
43500 Semenyih
Selangor",101,SGOR
12558,Selayang Jaya ,"2-4-6 Jalan SJ 14,
Selayang Jaya,
Selayang,
68100 Batu Caves
Selangor",101,SGOR
12642,Intan Millenium,"Suite 1.01 & 2.01, 
Intan Millennium Square, 
68, Jalan Batai Laut 4, 
Taman Intan, 41300 Klang, 
Selangor Darul Ehsan
Selangor",101,SGOR
